Gangetje 3,2311 ER Leiden,1,1
Zonneveldstraat 7,2313 VP Leiden,0,1
Dorpstraat 14,2316 AD Leiden,1,1
Jan van Goyenkade 29,2311 AD Leiden,1,0
Oosterkerkstraat 6,2313 RV Leiden,1,1
Botermarkt 22,2311 EN Leiden,0,1
Kolfmakersteeg 4,2312 TA Leiden,3,1
Hoge Woerd 40,2312 HJ Leiden,1,0
Vlietweg 9,2315 TM Leiden,1,1
Langebrug 11,2311 TG Leiden,0,1
Witte Singel 8,2311 BG Leiden,1,1
Kerkplein 5,2312 PK Leiden,1,0
Roodenburgerdistrict 14,2315 GE Leiden,1,1
Vestestraat 20,2312 SH Leiden,1,0
Rijn en Schiekade 36,2311 LM Leiden,0,1
Schelpenkade 16,2313 ZZ Leiden,1,0
Dorpsstraat 29,2317 BA Leiden,1,1
Pieterskerk-Choorsteeg 22,2311 XS Leiden,1,1
Gasthuissteeg 3,2312 AT Leiden,1,1
Breestraat 9,2311 AA Leiden,1,0
